id,type,name
http://www.openkg.cn/COVID-19/wiki/class/C142,rdf-schema:Class,音乐人物
http://www.openkg.cn/COVID-19/wiki/class/C143,rdf-schema:Class,病毒性疾病
http://www.openkg.cn/COVID-19/wiki/class/C144,rdf-schema:Class,西非国家
http://www.openkg.cn/COVID-19/wiki/class/C145,rdf-schema:Class,历史人
http://www.openkg.cn/COVID-19/wiki/class/C146,rdf-schema:Class,流行病疫苗
http://www.openkg.cn/COVID-19/wiki/class/C147,rdf-schema:Class,无性孢子
http://www.openkg.cn/COVID-19/wiki/class/C148,rdf-schema:Class,蕨类
http://www.openkg.cn/COVID-19/wiki/class/C149,rdf-schema:Class,小动物疾病
http://www.openkg.cn/COVID-19/wiki/class/C150,rdf-schema:Class,抗生素药品
http://www.openkg.cn/COVID-19/wiki/class/C151,rdf-schema:Class,内科疾病
http://www.openkg.cn/COVID-19/wiki/class/C152,rdf-schema:Class,知名品牌
http://www.openkg.cn/COVID-19/wiki/class/C153,rdf-schema:Class,冶金
http://www.openkg.cn/COVID-19/wiki/class/C154,rdf-schema:Class,抗感染药物
http://www.openkg.cn/COVID-19/wiki/class/C155,rdf-schema:Class,粤剧演员
http://www.openkg.cn/COVID-19/wiki/class/C156,rdf-schema:Class,学科名
http://www.openkg.cn/COVID-19/wiki/class/C157,rdf-schema:Class,细胞解剖学
http://www.openkg.cn/COVID-19/wiki/class/C158,rdf-schema:Class,病毒病
http://www.openkg.cn/COVID-19/wiki/class/C159,rdf-schema:Class,行业人物
http://www.openkg.cn/COVID-19/wiki/class/C160,rdf-schema:Class,男科
http://www.openkg.cn/COVID-19/wiki/class/C161,rdf-schema:Class,建筑
http://www.openkg.cn/COVID-19/wiki/class/C162,rdf-schema:Class,糖类化合物
http://www.openkg.cn/COVID-19/wiki/class/C163,rdf-schema:Class,医学技术
http://www.openkg.cn/COVID-19/wiki/class/C164,rdf-schema:Class,香港科学家
http://www.openkg.cn/COVID-19/wiki/class/C165,rdf-schema:Class,世界
http://www.openkg.cn/COVID-19/wiki/class/C166,rdf-schema:Class,烃的衍生物
http://www.openkg.cn/COVID-19/wiki/class/C167,rdf-schema:Class,生物编辑器
http://www.openkg.cn/COVID-19/wiki/class/C168,rdf-schema:Class,系列游戏
http://www.openkg.cn/COVID-19/wiki/class/C169,rdf-schema:Class,育儿百科
http://www.openkg.cn/COVID-19/wiki/class/C170,rdf-schema:Class,宗教人物
http://www.openkg.cn/COVID-19/wiki/class/C171,rdf-schema:Class,机械零件
http://www.openkg.cn/COVID-19/wiki/class/C172,rdf-schema:Class,中国翻译家
http://www.openkg.cn/COVID-19/wiki/class/C173,rdf-schema:Class,药用真菌
http://www.openkg.cn/COVID-19/wiki/class/C174,rdf-schema:Class,抗病毒药物
http://www.openkg.cn/COVID-19/goods/class/C4020302,owl:Class,抗病毒药物
http://www.openkg.cn/COVID-19/wiki/class/C175,rdf-schema:Class,前列腺炎
http://www.openkg.cn/COVID-19/wiki/class/C176,rdf-schema:Class,清朝君主
http://www.openkg.cn/COVID-19/wiki/class/C177,rdf-schema:Class,中国科学家
http://www.openkg.cn/COVID-19/wiki/class/C178,rdf-schema:Class,门诊
http://www.openkg.cn/COVID-19/wiki/class/C179,rdf-schema:Class,蠕虫病毒
http://www.openkg.cn/COVID-19/wiki/class/C180,rdf-schema:Class,亚洲艺术
